"Site","Date","spat_year","alive_nb","dead_nb","init_nb","Batch","site_spat","Specie","Support","Operator","Comments","Campaign","MR"
"Aiguillon",2015-02-03,2014,111,9,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Aiguillon",2015-03-09,2014,116,4,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Aiguillon",2015-05-18,2014,107,13,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Aiguillon",2015-06-15,2014,102,18,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Aiguillon",2015-07-15,2014,96,24,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Aiguillon",2015-08-18,2014,97,23,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Aiguillon",2015-09-29,2014,97,23,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Aiguillon",2015-12-15,2014,94,26,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Boyard",2014-10-14,2014,120,0,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Boyard",2014-12-04,2014,119,1,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Boyard",2015-03-05,2014,116,4,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Boyard",2015-05-20,2014,101,19,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Boyard",2015-06-15,2014,97,23,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Boyard",2015-07-16,2014,90,30,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Boyard",2015-09-29,2014,92,28,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Filiere",2014-10-23,2014,118,2,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Filiere",2014-11-06,2014,118,2,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Filiere",2014-12-08,2014,119,1,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Filiere",2015-01-07,2014,119,1,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Filiere",2015-02-03,2014,120,0,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Filiere",2015-03-11,2014,117,3,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Filiere",2015-04-20,2014,102,18,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Filiere",2015-05-19,2014,85,35,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Filiere",2015-06-16,2014,73,47,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Filiere",2015-07-07,2014,75,45,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Filiere",2015-09-28,2014,63,57,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Filiere",2015-12-15,2014,58,62,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Pont_Mahe",2014-12-05,2014,119,0,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Pont_Mahe",2015-03-09,2014,117,2,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Pont_Mahe",2015-09-17,2014,104,15,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Pont_Mahe",2015-10-12,2014,99,20,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Pont_Mahe",2015-12-11,2014,98,21,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Roulieres",2015-04-16,2014,112,0,112,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Roulieres",2015-05-18,2014,94,18,112,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Roulieres",2015-06-15,2014,91,21,112,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Roulieres",2015-07-15,2014,81,31,112,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Roulieres",2015-08-18,2014,81,31,112,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Roulieres",2015-09-18,2014,75,37,112,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Vivier",2014-12-05,2014,119,0,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Vivier",2015-02-17,2014,114,5,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Vivier",2015-03-05,2014,119,0,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Vivier",2015-05-05,2014,119,1,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Vivier",2015-06-15,2014,117,2,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Vivier",2015-09-17,2014,113,6,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Vivier",2015-12-15,2014,109,10,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Yves",2014-12-04,2014,117,0,118,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Yves",2015-03-05,2014,117,0,118,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Yves",2015-05-20,2014,113,4,118,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Yves",2015-06-16,2014,108,10,118,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Yves",2015-07-16,2014,106,11,118,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Yves",2015-08-17,2014,107,10,118,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Yves",2015-09-29,2014,102,15,118,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Yves",2015-12-10,2014,103,14,118,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Agon",2015-10-15,2015,117,0,117,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2016,NA
"Agon",2015-11-15,2015,113,4,117,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2016,NA
"Agon",2015-12-15,2015,115,2,117,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2016,NA
"Agon",2016-01-15,2015,106,11,117,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2016,NA
"Agon",2016-02-15,2015,101,16,117,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2016,NA
"Agon",2016-03-15,2015,107,10,117,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2016,NA
"Agon",2016-04-15,2015,94,22,117,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2016,NA
"Agon",2016-05-09,2015,88,29,117,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2016,NA
"Agon",2016-06-06,2015,80,37,117,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2016,NA
"Agon",2016-08-03,2015,74,43,117,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2016,NA
"Agon",2016-09-16,2015,66,50,117,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2016,NA
"Agon",2016-11-16,2015,56,61,117,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2016,NA
"Agon",2016-12-13,2015,62,55,117,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2016,NA
"Aiguillon",2015-10-15,2015,117,0,118,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2016,NA
"Aiguillon",2015-11-15,2015,111,7,118,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2016,NA
"Aiguillon",2015-12-15,2015,115,2,118,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2016,NA
"Aiguillon",2016-01-15,2015,112,6,118,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2016,NA
